episode,timestep,reward
7,1024,178.2036
15,2048,-192.4816
23,3072,91.3215
31,4096,112.6624
39,5120,-135.6669
47,6144,102.9381
55,7168,81.569
63,8192,-45.8585
71,9216,-53.0556
79,10240,92.8489
87,11264,-140.9013
95,12288,11.4682
103,13312,75.6557
111,14336,-110.5844
119,15360,112.8309
127,16384,-317.5602
135,17408,-175.0024
143,18432,-77.6886
151,19456,-99.632
159,20480,-29.585
167,21504,17.5113
175,22528,-49.6611
183,23552,143.7505
191,24576,-122.7309
199,25600,44.989
207,26624,-4.0906
215,27648,43.8035
