episode,timestep,reward
7,1024,-32.5881
15,2048,-143.4017
23,3072,41.9787
31,4096,-107.3834
39,5120,-84.905
47,6144,-153.6217
55,7168,114.9283
63,8192,-79.389
71,9216,-150.0928
79,10240,-47.8729
87,11264,159.0048
95,12288,-76.2402
103,13312,-114.872
111,14336,-47.9673
119,15360,-177.102
127,16384,4.2218
135,17408,-161.2984
143,18432,24.1597
151,19456,142.8061
159,20480,-80.5643
167,21504,-32.9963
175,22528,45.8402
183,23552,-399.9472
191,24576,339.1111
199,25600,-94.6838
207,26624,106.2471
215,27648,-0.3061
223,28672,-219.2206
231,29696,72.9858
239,30720,252.8141
247,31744,343.0857
255,32768,-89.5168
263,33792,-437.7862
271,34816,35.9819
279,35840,-324.2331
287,36864,-276.7327
295,37888,-409.7405
303,38912,-345.9698
311,39936,153.6082
