episode,timestep,reward
7,1024,-1828.5793
15,2048,-1766.2719
23,3072,-1830.8085
31,4096,-1674.9471
39,5120,-1767.7133
47,6144,-1764.6061
55,7168,-1825.2962
63,8192,-1762.6086
71,9216,-1842.0895
79,10240,-1871.2166
87,11264,-1840.8274
95,12288,-1803.3917
103,13312,-1785.3119
111,14336,-1819.0729
119,15360,-1796.5681
127,16384,-1845.8697
135,17408,-1752.4692
143,18432,-1798.6531
151,19456,-1778.0371
159,20480,-1819.7265
167,21504,-1751.6637
175,22528,-1733.4781
183,23552,-1790.9778
191,24576,-1797.9646
199,25600,-1842.3705
207,26624,-1746.1564
215,27648,-1764.4875
223,28672,-1696.6281
231,29696,-1925.6108
239,30720,-1827.0792
247,31744,-1723.9971
255,32768,-1824.8473
263,33792,-1756.2154
271,34816,-1857.6322
279,35840,-1815.9545
287,36864,-1797.2015
295,37888,-1798.9188
303,38912,-1785.1634
311,39936,-1828.9264
319,40960,-1706.8635
327,41984,-1825.3549
335,43008,-1778.7384
343,44032,-1775.0589
351,45056,-1791.1146
359,46080,-1669.8018
367,47104,-1820.755
375,48128,-1736.6171
383,49152,-1880.1181
391,50176,-1819.3566
399,51200,-1765.0324
407,52224,-1752.4416
415,53248,-1816.2437
423,54272,-1708.2967
431,55296,-1818.567
439,56320,-1730.2146
447,57344,-1722.1048
455,58368,-1830.9598
463,59392,-1678.6022
471,60416,-1719.2304
479,61440,-1800.5714
487,62464,-1788.2893
495,63488,-1847.5245
503,64512,-1882.879
511,65536,-1759.2512
519,66560,-1726.9699
527,67584,-1788.6532
535,68608,-1798.0622
543,69632,-1739.2801
551,70656,-1785.4157
559,71680,-1787.245
567,72704,-1735.6159
575,73728,-1835.8892
583,74752,-1761.3477
591,75776,-1869.0346
599,76800,-1853.0138
607,77824,-1783.7972
615,78848,-1810.1539
623,79872,-1815.5959
631,80896,-1773.0377
639,81920,-1725.0287
647,82944,-1764.8127
655,83968,-1827.3556
663,84992,-1809.3189
671,86016,-1827.2335
679,87040,-1757.1686
687,88064,-1728.1652
695,89088,-1760.3767
703,90112,-1705.6193
711,91136,-1761.1597
719,92160,-1814.5736
727,93184,-1746.394
735,94208,-1837.7889
743,95232,-1794.2105
751,96256,-1757.7224
759,97280,-1706.7992
767,98304,-1744.8641
775,99328,-1732.7404
783,100352,-1833.5156
791,101376,-1718.0156
799,102400,-1885.8492
807,103424,-1835.9128
815,104448,-1785.8794
823,105472,-1784.9468
831,106496,-1839.6122
