episode,timestep,reward
7,1024,150.4386
15,2048,-166.5603
23,3072,-23.2125
31,4096,-70.8672
39,5120,30.3966
47,6144,-8.2214
55,7168,28.4225
63,8192,-125.8963
71,9216,24.574
79,10240,22.8291
87,11264,-65.0152
95,12288,79.7524
103,13312,19.6069
111,14336,-63.4119
119,15360,-83.9386
127,16384,-18.0021
135,17408,-140.8204
143,18432,-69.4366
151,19456,-57.664
159,20480,-83.5758
167,21504,83.4995
175,22528,-274.1613
183,23552,-49.0578
191,24576,-104.3406
199,25600,11.1029
207,26624,16.0826
215,27648,-313.6058
223,28672,-108.0981
231,29696,-78.2438
239,30720,186.313
247,31744,-6.4859
255,32768,306.7338
263,33792,-143.9614
271,34816,111.9319
279,35840,23.0963
287,36864,198.3924
295,37888,-244.3825
303,38912,-412.5866
311,39936,-363.5751
319,40960,-209.12
327,41984,-323.1741
335,43008,-42.6549
343,44032,96.1629
351,45056,-553.0598
359,46080,-63.2736
367,47104,-163.2607
375,48128,243.0479
383,49152,-55.906
