episode,timestep,reward
7,1024,-181.1958
15,2048,-168.7427
23,3072,-182.7876
31,4096,-174.1258
39,5120,-183.063
47,6144,-190.4916
55,7168,-177.8154
63,8192,-175.6854
71,9216,-177.1805
79,10240,-173.2458
87,11264,-185.5351
95,12288,-182.4226
103,13312,-182.0145
111,14336,-184.6481
119,15360,-178.2892
127,16384,-179.0248
135,17408,-183.1074
143,18432,-184.1781
151,19456,-180.8762
159,20480,-177.6565
167,21504,-173.7098
175,22528,-172.34
183,23552,-173.6807
191,24576,-172.2444
199,25600,-166.128
207,26624,-166.3046
215,27648,-178.7902
223,28672,-173.2786
231,29696,-178.9211
239,30720,-177.484
247,31744,-170.0905
255,32768,-169.7963
263,33792,-178.0755
271,34816,-171.3226
279,35840,-174.0984
287,36864,-172.5549
295,37888,-177.8902
303,38912,-176.0717
311,39936,-173.5486
319,40960,-171.0193
327,41984,-172.3914
335,43008,-169.1551
343,44032,-178.4972
351,45056,-178.876
359,46080,-187.8456
367,47104,-172.3561
375,48128,-172.7241
383,49152,-174.2265
