episode,timestep,reward
1,1000,-62.9961
3,2000,-129.8337
5,3000,-77.6833
7,4000,-7.4116
9,5000,-58.809
11,6000,-85.1763
13,7000,-23.6843
15,8000,-126.4536
17,9000,-55.1415
19,10000,-85.6624
21,11000,-72.3172
23,12000,-67.5305
25,13000,-83.9653
27,14000,-19.5661
29,15000,-54.2234
31,16000,-63.3802
33,17000,-59.6981
35,18000,-63.4498
37,19000,-46.0121
39,20000,-90.8255
41,21000,-122.5516
43,22000,30.188
45,23000,-75.7543
47,24000,-55.2912
49,25000,-34.2882
51,26000,-101.5835
53,27000,-56.8705
55,28000,10.1014
57,29000,-70.5265
59,30000,-50.2734
61,31000,-32.8803
63,32000,-91.2923
65,33000,-98.2073
67,34000,-106.3134
69,35000,-88.1273
71,36000,-72.7367
73,37000,-47.363
75,38000,-78.6045
77,39000,-58.3159
79,40000,-59.8933
81,41000,-34.3569
83,42000,-13.3481
85,43000,-34.4245
87,44000,23.6461
89,45000,-6.5417
91,46000,-0.4762
93,47000,-32.8514
95,48000,42.118
97,49000,-103.1921
99,50000,-18.3326
101,51000,55.8294
103,52000,-17.407
105,53000,-54.0362
107,54000,-51.5322
109,55000,9.2529
111,56000,-11.7711
113,57000,-44.0804
115,58000,-134.8762
117,59000,-75.5451
119,60000,-74.1042
121,61000,-37.2064
123,62000,-12.7236
125,63000,-83.2969
127,64000,-39.8083
129,65000,-106.1492
131,66000,-31.78
133,67000,-68.6588
135,68000,9.3476
137,69000,-90.0982
139,70000,29.4166
141,71000,9.1524
143,72000,-77.3269
145,73000,-74.5592
147,74000,-95.537
149,75000,-54.5825
151,76000,-64.8631
153,77000,-33.7117
155,78000,-16.8883
157,79000,-66.3664
159,80000,-73.2245
161,81000,-55.2885
163,82000,-19.575
165,83000,-60.3506
167,84000,-54.5356
169,85000,-125.0734
171,86000,51.6967
173,87000,-60.9972
175,88000,-46.0597
177,89000,-18.7491
179,90000,-94.5216
181,91000,-54.1089
183,92000,-49.6554
185,93000,-21.3296
187,94000,-69.8943
189,95000,-22.9894
191,96000,-59.4537
193,97000,26.182
195,98000,-38.7807
197,99000,-46.2058
199,100000,-85.5906
201,101000,-44.3172
203,102000,-91.763
205,103000,-114.9205
207,104000,-94.9994
209,105000,-58.6714
211,106000,-75.8199
213,107000,-17.157
215,108000,-47.0799
217,109000,-66.0322
219,110000,-34.1678
