episode,timestep,reward
1,1000,-85.7124
3,2000,-39.5258
5,3000,-63.0145
7,4000,-65.5405
9,5000,-64.6863
11,6000,-48.7939
13,7000,-68.81
15,8000,-47.3821
17,9000,-54.9918
19,10000,-56.8293
21,11000,-55.5332
23,12000,-36.3817
25,13000,-30.3784
27,14000,-45.7904
29,15000,-48.0322
31,16000,-59.4186
33,17000,-39.8224
35,18000,-59.4418
37,19000,-48.7183
39,20000,-51.088
41,21000,-30.5308
43,22000,-11.0973
45,23000,-50.5984
47,24000,-45.5348
49,25000,-50.2131
51,26000,-4.7999
53,27000,-24.0136
55,28000,-47.158
57,29000,-13.0955
59,30000,-22.7962
61,31000,-18.8458
63,32000,-41.7004
65,33000,-26.547
67,34000,1.9023
69,35000,-20.9685
71,36000,9.3474
73,37000,-18.2723
75,38000,-10.1541
77,39000,-3.9091
79,40000,-36.8373
81,41000,-42.2225
83,42000,-32.3187
85,43000,-9.4194
87,44000,-25.7829
89,45000,-8.0175
91,46000,-8.3766
93,47000,1.5913
95,48000,-2.66
97,49000,-6.2196
99,50000,-3.5575
101,51000,-10.1178
103,52000,-29.0425
105,53000,0.2042
107,54000,-14.3259
109,55000,3.2913
111,56000,-24.3762
113,57000,2.756
115,58000,11.5673
117,59000,5.4959
119,60000,-17.3547
121,61000,20.0047
123,62000,-5.971
125,63000,-3.9872
127,64000,-6.4311
129,65000,21.9287
131,66000,20.7022
133,67000,3.1262
135,68000,-8.5199
137,69000,-9.183
139,70000,-21.4183
141,71000,-13.7115
143,72000,-19.5075
145,73000,14.1156
147,74000,-1.5659
149,75000,32.4524
151,76000,46.0224
153,77000,48.6661
155,78000,18.8449
157,79000,17.2379
159,80000,11.842
161,81000,24.7588
163,82000,25.5338
165,83000,11.6674
167,84000,42.7213
169,85000,6.5651
171,86000,44.9424
173,87000,4.8253
175,88000,5.0271
177,89000,8.9357
179,90000,-36.5673
181,91000,-1.8152
183,92000,36.1329
185,93000,8.1053
187,94000,36.5991
189,95000,28.2312
191,96000,56.1046
193,97000,35.8051
195,98000,-0.1796
197,99000,-15.2092
199,100000,14.5132
201,101000,8.5654
203,102000,32.3199
205,103000,67.2639
207,104000,31.5181
209,105000,-7.7209
211,106000,6.6285
213,107000,17.1508
215,108000,66.3991
217,109000,54.8854
219,110000,79.5279
221,111000,23.9998
223,112000,132.6339
225,113000,82.4538
227,114000,28.0246
229,115000,34.2507
231,116000,17.8807
233,117000,-48.8266
235,118000,-50.7121
237,119000,-119.5781
239,120000,-65.3079
241,121000,-33.1887
243,122000,-175.0998
245,123000,27.8388
247,124000,-14.1897
249,125000,22.6331
251,126000,-84.2359
253,127000,-81.1403
255,128000,-49.0665
257,129000,12.3316
259,130000,-18.701
261,131000,-20.5811
263,132000,-75.8969
265,133000,-30.4673
267,134000,56.9269
269,135000,-4.761
271,136000,-13.2356
273,137000,-49.2286
275,138000,-91.5708
277,139000,-123.2133
279,140000,-47.5136
281,141000,-63.1214
283,142000,59.1877
285,143000,-14.4201
287,144000,-90.9749
289,145000,68.296
291,146000,-32.8801
293,147000,-79.7186
295,148000,-42.0435
297,149000,-60.8534
299,150000,-104.1251
301,151000,-70.9914
303,152000,-89.1029
305,153000,-119.4415
307,154000,12.5858
309,155000,-116.2176
311,156000,38.1659
313,157000,-76.0848
315,158000,47.0966
317,159000,-47.9064
319,160000,23.3185
321,161000,-3.5782
323,162000,24.4078
325,163000,-68.5298
327,164000,48.4721
329,165000,-82.7874
331,166000,111.1422
333,167000,-25.131
335,168000,-117.3539
337,169000,37.4305
339,170000,-26.9829
341,171000,-113.3437
343,172000,-119.4458
345,173000,-66.027
347,174000,-87.3932
349,175000,-52.8289
351,176000,63.8675
353,177000,-67.6142
355,178000,-34.5082
357,179000,-59.9512
359,180000,-3.2416
361,181000,-13.9413
363,182000,-114.8994
365,183000,-3.2087
367,184000,73.4585
369,185000,-71.3005
371,186000,-72.8723
373,187000,-125.8467
375,188000,-53.1843
377,189000,-43.6917
379,190000,-83.0842
381,191000,-23.9203
383,192000,-34.7602
385,193000,-109.1642
387,194000,-1.4632
389,195000,4.2199
391,196000,-41.3627
393,197000,-0.097
395,198000,-70.8217
397,199000,-51.3451
399,200000,-42.8278
401,201000,-60.2218
403,202000,-19.7304
405,203000,40.3768
407,204000,57.4796
409,205000,-40.4896
411,206000,-19.4766
413,207000,46.5484
415,208000,-37.3642
417,209000,-39.6196
419,210000,100.7807
421,211000,10.1292
423,212000,-32.0245
425,213000,9.5072
427,214000,35.4943
429,215000,-66.2331
431,216000,79.3787
433,217000,-72.7096
435,218000,194.3106
437,219000,-30.2875
439,220000,-86.8761
441,221000,-50.7506
443,222000,-12.1553
445,223000,-98.5681
447,224000,-41.7721
449,225000,2.1192
451,226000,-46.8686
453,227000,-91.1565
455,228000,78.9248
457,229000,42.9072
459,230000,33.2208
461,231000,24.1505
463,232000,-84.2158
465,233000,-25.2392
467,234000,-62.1683
469,235000,-72.6217
471,236000,102.6964
