episode,timestep,reward
1,1000,-134.9878
3,2000,-98.809
5,3000,-108.0499
7,4000,-108.0747
9,5000,-127.7202
11,6000,-90.6512
13,7000,-115.243
15,8000,-124.3463
17,9000,-114.2911
19,10000,-103.4918
21,11000,-112.7131
23,12000,-139.5026
25,13000,-132.4094
27,14000,-91.5168
29,15000,-97.9208
31,16000,-113.9022
33,17000,-91.4921
35,18000,-89.3653
37,19000,-119.7751
39,20000,-131.2887
41,21000,-119.6133
43,22000,-90.8005
45,23000,-88.2117
47,24000,-67.0901
49,25000,-96.1994
51,26000,-96.3657
53,27000,-77.75
55,28000,-68.5134
57,29000,-86.4838
59,30000,-68.6219
61,31000,-96.2648
63,32000,-99.4133
65,33000,-72.3327
67,34000,-76.3964
69,35000,-103.9992
71,36000,-82.4803
73,37000,-81.6255
75,38000,-92.5122
77,39000,-42.8476
79,40000,-79.8512
81,41000,-27.4966
83,42000,4.5745
85,43000,-81.7878
87,44000,-55.8918
89,45000,-44.3715
91,46000,-94.3628
93,47000,-84.0168
95,48000,-43.8177
97,49000,-52.1407
99,50000,-11.5509
101,51000,-63.7637
103,52000,-12.2353
105,53000,-65.1902
107,54000,-43.7061
109,55000,-56.8126
111,56000,-31.7488
113,57000,57.481
115,58000,-37.7214
117,59000,14.9057
119,60000,-11.1912
121,61000,105.009
123,62000,68.0003
125,63000,19.0771
127,64000,157.639
129,65000,-37.0903
131,66000,-20.9081
133,67000,20.297
135,68000,29.1074
137,69000,45.1771
139,70000,5.1529
141,71000,207.3467
143,72000,130.4414
145,73000,-10.5279
147,74000,31.1407
149,75000,22.856
151,76000,34.339
153,77000,14.4281
155,78000,36.2648
157,79000,25.9924
159,80000,70.4677
161,81000,247.1665
163,82000,185.3139
165,83000,-25.5894
167,84000,95.124
169,85000,26.636
171,86000,234.4966
173,87000,88.0711
175,88000,26.5041
177,89000,162.2973
179,90000,52.1279
181,91000,-12.4244
183,92000,57.1052
185,93000,124.7867
187,94000,275.9969
189,95000,67.644
191,96000,318.9396
193,97000,146.3524
195,98000,34.5516
197,99000,391.8683
199,100000,100.6628
201,101000,150.1988
203,102000,434.8226
205,103000,107.6613
207,104000,169.68
209,105000,205.7816
211,106000,408.656
213,107000,413.7282
215,108000,106.5836
217,109000,212.1753
219,110000,99.1811
221,111000,101.0829
223,112000,37.8701
225,113000,156.233
227,114000,223.5682
229,115000,-23.2898
231,116000,51.5469
233,117000,-6.364
235,118000,63.6294
237,119000,197.6211
239,120000,81.0424
241,121000,76.1495
243,122000,198.7385
245,123000,308.4477
247,124000,307.4343
249,125000,153.9533
251,126000,202.1244
253,127000,54.3825
255,128000,109.1599
257,129000,45.6064
259,130000,45.1326
261,131000,433.6126
263,132000,200.6185
265,133000,220.9774
267,134000,311.8236
269,135000,523.5164
271,136000,249.4719
273,137000,196.6662
275,138000,271.6694
277,139000,89.8646
279,140000,290.3641
