episode,timestep,reward
1,1000,-101.6139
3,2000,-96.2283
5,3000,-136.8751
7,4000,-119.8742
9,5000,-83.9328
11,6000,-108.2007
13,7000,-110.3836
15,8000,-150.1283
17,9000,-116.3389
19,10000,-91.0976
21,11000,-127.8973
23,12000,-117.993
25,13000,-119.8533
27,14000,-137.2036
29,15000,-137.2736
31,16000,-123.6323
33,17000,-121.0985
35,18000,-125.0545
37,19000,-125.1608
39,20000,-47.8099
41,21000,-100.1519
43,22000,-80.5471
45,23000,-69.9267
47,24000,-129.9259
49,25000,-115.1978
51,26000,-154.0558
53,27000,-105.5578
55,28000,-91.092
57,29000,-116.8313
59,30000,-105.5932
61,31000,-106.0064
