episode,timestep,reward
1,1000,-141.6761
3,2000,-138.7607
5,3000,-121.3443
7,4000,-139.9488
9,5000,-127.0619
11,6000,-156.1777
13,7000,-145.2377
15,8000,-142.2115
17,9000,-103.953
19,10000,-143.7106
21,11000,-104.0789
23,12000,-150.4944
25,13000,-128.6085
27,14000,-90.3661
29,15000,-115.9719
31,16000,-68.807
33,17000,-88.2686
35,18000,-108.1227
37,19000,-110.6817
39,20000,-104.3928
41,21000,-52.3397
43,22000,-80.1118
45,23000,-98.5062
47,24000,-118.7585
49,25000,-116.6875
51,26000,-76.4492
53,27000,-103.8991
55,28000,-78.4218
57,29000,-79.2944
59,30000,-53.7696
61,31000,-66.8522
63,32000,-36.9444
65,33000,-33.9011
67,34000,-30.3046
69,35000,-73.7555
