episode,timestep,reward
1,2000,-145.2484
3,4000,-133.8861
5,6000,-144.9287
7,8000,-147.7584
9,10000,-138.9238
11,12000,-104.528
13,14000,-112.9065
15,16000,-121.3696
17,18000,-127.5283
19,20000,-99.3392
21,22000,-130.7065
23,24000,-107.5756
25,26000,-129.609
27,28000,-126.8961
29,30000,-148.5142
31,32000,-152.7969
33,34000,-83.0885
35,36000,-121.8443
37,38000,-144.2739
39,40000,-154.844
41,42000,-142.7776
43,44000,-121.8067
45,46000,-140.1021
47,48000,-136.5945
49,50000,-120.2321
51,52000,-130.5721
53,54000,-144.8258
55,56000,-137.2883
57,58000,-139.3515
59,60000,-155.716
61,62000,-120.523
63,64000,-68.5379
65,66000,-141.5388
67,68000,-126.7144
69,70000,-133.3842
71,72000,-132.2736
73,74000,-131.8322
75,76000,-125.8523
77,78000,-130.7874
79,80000,-137.1943
81,82000,-131.0657
83,84000,-129.102
85,86000,-138.2478
87,88000,-149.3268
89,90000,-82.694
91,92000,-114.6786
93,94000,-88.9392
95,96000,-149.0607
97,98000,-124.564
99,100000,-75.5827
101,102000,-136.312
103,104000,-90.5974
105,106000,-141.7627
107,108000,-140.1519
109,110000,-40.9638
111,112000,-128.9208
113,114000,-133.299
115,116000,-134.1596
117,118000,-72.4718
119,120000,-145.0139
121,122000,-127.8211
123,124000,-112.5526
125,126000,-124.4048
127,128000,-117.9935
129,130000,-80.0011
131,132000,-130.4228
133,134000,-116.5796
135,136000,-136.5398
137,138000,-51.4949
139,140000,-110.1508
141,142000,-121.3987
143,144000,-132.2383
145,146000,-155.922
147,148000,-130.557
149,150000,-107.2167
151,152000,-108.1653
153,154000,-95.8089
155,156000,-112.128
157,158000,-122.5833
159,160000,-96.073
161,162000,-108.6085
163,164000,-115.0756
165,166000,-122.6728
167,168000,-115.7436
169,170000,-118.2562
171,172000,-129.3352
173,174000,-144.8441
175,176000,-101.7754
177,178000,-145.5886
179,180000,-123.4343
181,182000,-131.3514
183,184000,-117.3397
185,186000,-134.9083
187,188000,-117.3133
189,190000,-113.4103
191,192000,-136.7877
193,194000,-104.045
195,196000,-115.5973
197,198000,-130.0684
199,200000,-123.2401
201,202000,-92.7166
203,204000,-111.8904
205,206000,-101.1109
207,208000,-124.0659
209,210000,-118.5347
211,212000,-121.7629
213,214000,-100.3747
215,216000,-136.5264
217,218000,-130.5643
219,220000,-116.8853
221,222000,-98.3282
223,224000,-102.2495
225,226000,-132.162
227,228000,-115.9615
229,230000,-142.6113
231,232000,-111.175
233,234000,-105.3091
235,236000,-118.5036
237,238000,-117.4317
239,240000,-101.7352
241,242000,-114.1464
243,244000,-53.5466
245,246000,-107.2845
247,248000,-78.0829
249,250000,-120.7351
251,252000,-123.3633
253,254000,-132.5066
255,256000,-110.2718
257,258000,-108.1429
259,260000,-121.1603
261,262000,-128.4298
263,264000,-131.8328
265,266000,-112.9925
267,268000,-110.0714
269,270000,-105.8109
271,272000,-101.5994
273,274000,-91.3858
275,276000,-107.9973
277,278000,-103.462
279,280000,-106.9888
281,282000,-100.7451
283,284000,-125.4713
285,286000,-102.0357
287,288000,-116.2791
289,290000,-106.8282
291,292000,-113.4136
293,294000,-111.5492
295,296000,-105.8006
297,298000,-107.722
299,300000,-103.5554
301,302000,-96.6121
303,304000,-114.1921
305,306000,-96.9577
307,308000,-110.9293
309,310000,-92.6382
311,312000,-121.255
313,314000,-100.3907
315,316000,-104.5341
317,318000,-100.5329
319,320000,-93.2274
321,322000,-120.4989
323,324000,-120.2113
325,326000,-116.8931
327,328000,-103.6178
329,330000,-79.4171
331,332000,-103.7204
333,334000,-64.4219
335,336000,-89.8301
337,338000,-102.2883
339,340000,-80.7348
341,342000,-75.5668
343,344000,-78.3097
345,346000,-109.687
347,348000,-94.7064
349,350000,-88.5273
351,352000,-108.2969
353,354000,-98.4616
355,356000,-91.077
357,358000,-97.2742
359,360000,-89.589
361,362000,-109.9642
363,364000,-85.7771
365,366000,-83.8297
367,368000,-84.2987
369,370000,-89.1255
371,372000,-92.5304
373,374000,-105.6515
375,376000,-85.6753
377,378000,-93.7255
379,380000,-85.5485
381,382000,-100.2682
383,384000,-89.962
385,386000,-91.8112
387,388000,-78.3261
389,390000,-98.7218
391,392000,-77.8027
393,394000,-87.3821
395,396000,-94.2227
397,398000,-103.8272
399,400000,-105.0982
401,402000,-76.3407
403,404000,-99.1746
405,406000,-98.3117
407,408000,-102.7124
409,410000,-103.5253
411,412000,-79.3277
413,414000,-91.3745
415,416000,-84.3058
417,418000,-92.6956
419,420000,-79.9276
421,422000,-101.9367
423,424000,-70.9126
425,426000,-85.577
427,428000,-87.2406
429,430000,-78.6732
431,432000,-70.1991
433,434000,-86.3319
435,436000,-90.2389
437,438000,-91.0826
439,440000,-84.292
441,442000,-87.4708
443,444000,-94.6491
445,446000,-80.8715
447,448000,-83.9738
449,450000,-85.8767
451,452000,-101.7339
453,454000,-87.4815
455,456000,-82.56
457,458000,-66.0214
459,460000,-83.3815
461,462000,-90.19
463,464000,-95.5352
465,466000,-91.8705
467,468000,-82.0112
469,470000,-85.7075
471,472000,-79.7821
473,474000,-88.8467
475,476000,-79.9103
477,478000,-59.1737
479,480000,-79.7458
481,482000,-79.2988
483,484000,-79.6303
485,486000,-94.8088
487,488000,-76.9345
489,490000,-77.663
491,492000,-72.5628
493,494000,-75.3398
495,496000,-73.7153
497,498000,-87.8469
499,500000,-90.5622
501,502000,-80.0046
503,504000,-76.1742
505,506000,-75.2149
507,508000,-43.1343
509,510000,-69.2754
511,512000,-69.7779
513,514000,-69.5422
515,516000,-79.6421
517,518000,-83.3736
519,520000,-67.5169
521,522000,-74.159
523,524000,-66.2492
525,526000,-78.7922
527,528000,-66.3674
529,530000,-76.8674
531,532000,-74.2698
533,534000,-86.8881
535,536000,-81.3457
537,538000,-69.8537
539,540000,-74.3874
541,542000,-95.5775
543,544000,-78.449
545,546000,-93.8508
547,548000,-62.6991
549,550000,-61.1813
551,552000,-67.2043
553,554000,-92.6312
555,556000,-77.4665
557,558000,-72.0318
559,560000,-83.83
561,562000,-65.883
563,564000,-75.3727
565,566000,-80.3145
567,568000,-72.8252
569,570000,-87.6598
571,572000,-61.0657
573,574000,-92.7482
575,576000,-76.8597
577,578000,-76.0866
579,580000,-84.7078
581,582000,-97.4088
583,584000,-75.7422
585,586000,-75.4361
587,588000,-83.3868
589,590000,-81.1434
591,592000,-73.239
593,594000,-85.2856
595,596000,-74.9998
597,598000,-76.3088
599,600000,-86.2312
601,602000,-83.4194
603,604000,-80.9677
605,606000,-76.961
607,608000,-74.719
609,610000,-87.7228
611,612000,-80.5034
613,614000,-60.7352
615,616000,-72.7949
617,618000,-50.7255
619,620000,-70.6791
621,622000,-84.5201
623,624000,-89.4403
625,626000,-74.9983
627,628000,-65.1621
629,630000,-70.8518
631,632000,-77.619
633,634000,-70.1278
635,636000,-77.0721
637,638000,-69.0341
639,640000,-72.9545
641,642000,-84.6031
643,644000,-86.3134
645,646000,-74.7043
647,648000,-88.1992
649,650000,-75.0208
651,652000,-64.1979
653,654000,-77.1561
655,656000,-73.8653
657,658000,-81.8177
659,660000,-93.5212
661,662000,-75.7489
663,664000,-83.2494
665,666000,-78.0876
667,668000,-71.72
669,670000,-55.7752
671,672000,-77.6667
673,674000,-82.5324
675,676000,-84.0708
677,678000,-73.4492
679,680000,-76.154
681,682000,-73.3523
683,684000,-86.0463
685,686000,-71.8964
687,688000,-91.2317
689,690000,-94.1402
691,692000,-93.0422
693,694000,-59.9088
695,696000,-73.7878
697,698000,-75.3251
699,700000,-72.532
701,702000,-73.601
703,704000,-82.5922
705,706000,-89.5483
707,708000,-73.8769
709,710000,-85.3227
711,712000,-71.8119
713,714000,-77.6486
715,716000,-81.8723
717,718000,-62.8645
719,720000,-72.0947
721,722000,-73.308
723,724000,-74.1056
725,726000,-73.6842
727,728000,-90.9183
729,730000,-85.3843
731,732000,-81.6183
733,734000,-92.6531
735,736000,-67.286
737,738000,-89.33
739,740000,-81.0438
741,742000,-78.2392
743,744000,-76.3726
745,746000,-82.2204
747,748000,-72.4961
749,750000,-80.8763
751,752000,-73.0205
753,754000,-56.4698
755,756000,-63.6167
757,758000,-81.5742
759,760000,-71.1419
761,762000,-87.1367
763,764000,-73.2453
765,766000,-88.7374
767,768000,-66.5279
769,770000,-79.416
771,772000,-82.8599
773,774000,-91.5516
775,776000,-85.5147
777,778000,-64.5879
779,780000,-86.4031
781,782000,-78.011
783,784000,-74.4752
785,786000,-86.5818
787,788000,-58.3199
789,790000,-71.6745
791,792000,-78.0451
793,794000,-69.7131
795,796000,-78.6872
797,798000,-95.9326
799,800000,-67.7932
801,802000,-56.9289
803,804000,-83.8761
805,806000,-69.1708
807,808000,-72.0
809,810000,-68.6966
811,812000,-67.5579
813,814000,-68.6781
815,816000,-78.4944
