episode,timestep,reward
1,2000,-113.1998
3,4000,-91.8959
5,6000,-91.3813
7,8000,-92.7297
9,10000,-88.1934
11,12000,-112.9001
13,14000,-94.2228
15,16000,-71.0994
17,18000,-84.2141
19,20000,-73.9761
21,22000,-77.1739
23,24000,-96.4278
25,26000,-92.9316
27,28000,-105.2245
29,30000,-69.7317
31,32000,-58.1289
33,34000,-68.6776
35,36000,-111.1738
37,38000,-11.1183
39,40000,-84.2783
41,42000,-85.8996
43,44000,-96.897
45,46000,-58.6536
47,48000,-30.3863
49,50000,-36.8538
51,52000,-7.8788
53,54000,34.7622
55,56000,-44.0142
57,58000,-36.827
59,60000,-28.5595
61,62000,101.6681
63,64000,43.7468
65,66000,120.9115
67,68000,142.7048
69,70000,152.1001
71,72000,73.385
73,74000,152.4676
75,76000,176.4172
77,78000,196.3083
79,80000,39.9921
81,82000,-46.9837
83,84000,-23.4882
85,86000,279.4345
87,88000,281.005
89,90000,45.0272
91,92000,48.1524
93,94000,-59.3686
95,96000,303.1867
97,98000,147.546
99,100000,-43.1803
101,102000,551.5159
103,104000,309.8253
105,106000,120.1164
107,108000,57.0647
109,110000,-23.9343
111,112000,313.114
113,114000,733.914
115,116000,954.8205
117,118000,302.1206
119,120000,722.3312
121,122000,649.5987
123,124000,69.3502
125,126000,758.5287
127,128000,677.5662
129,130000,99.4764
131,132000,238.6359
133,134000,434.9485
135,136000,367.2238
137,138000,490.8812
139,140000,672.7871
141,142000,72.5258
143,144000,665.1041
145,146000,501.6858
147,148000,1091.4714
149,150000,810.1526
151,152000,203.6423
153,154000,614.0402
155,156000,531.3343
157,158000,500.7209
159,160000,234.9448
161,162000,345.1391
163,164000,820.4295
165,166000,130.5889
167,168000,-20.3245
169,170000,193.8043
171,172000,270.8539
173,174000,292.9389
175,176000,642.3468
177,178000,631.9194
179,180000,354.0845
181,182000,707.5681
183,184000,448.6605
185,186000,148.9251
187,188000,232.5405
189,190000,1458.581
191,192000,765.1834
193,194000,250.7439
195,196000,290.5251
197,198000,932.7571
199,200000,688.4632
201,202000,648.9666
203,204000,-31.7962
205,206000,77.5851
207,208000,113.8464
209,210000,401.5815
211,212000,520.5847
213,214000,831.1208
215,216000,313.6858
217,218000,-69.6374
219,220000,918.3016
221,222000,668.3324
223,224000,583.9607
225,226000,839.5712
227,228000,739.6183
229,230000,203.9068
231,232000,863.2549
233,234000,811.059
235,236000,316.4753
237,238000,683.7992
239,240000,1268.2877
241,242000,812.9379
243,244000,776.8107
245,246000,1341.8823
247,248000,1210.4828
249,250000,303.8334
251,252000,1061.6683
253,254000,1530.1575
255,256000,138.0753
257,258000,361.1087
259,260000,1025.728
261,262000,774.5754
263,264000,868.4549
265,266000,242.9352
267,268000,741.9396
269,270000,1241.4226
271,272000,507.9673
273,274000,404.8281
275,276000,802.1447
277,278000,679.2761
279,280000,998.202
281,282000,692.4238
283,284000,1024.4495
285,286000,281.958
287,288000,410.4519
289,290000,536.6449
291,292000,395.4999
293,294000,578.0781
295,296000,-37.6889
297,298000,403.4466
299,300000,342.0106
301,302000,662.4725
303,304000,396.2967
305,306000,587.7835
307,308000,357.9508
309,310000,696.1497
311,312000,456.2197
313,314000,231.9891
315,316000,680.79
317,318000,1260.886
319,320000,393.0125
321,322000,803.7912
323,324000,1013.6278
325,326000,683.5257
327,328000,622.8188
329,330000,1490.0827
331,332000,709.3166
333,334000,136.9519
335,336000,720.7889
337,338000,786.3554
339,340000,624.3572
341,342000,614.1968
343,344000,589.0035
345,346000,169.809
347,348000,755.8369
349,350000,637.8533
351,352000,626.6727
353,354000,571.5953
355,356000,449.57
357,358000,621.0157
359,360000,1215.2804
361,362000,1132.3859
363,364000,1036.8892
365,366000,663.7219
367,368000,1215.6209
369,370000,1207.8695
371,372000,1138.0588
373,374000,1494.9462
375,376000,1192.9681
377,378000,248.5023
379,380000,491.2394
381,382000,698.1251
383,384000,1019.6111
385,386000,1116.2501
387,388000,1180.7326
389,390000,945.7862
391,392000,871.0715
393,394000,368.1402
395,396000,12.3301
397,398000,1385.3271
399,400000,584.9907
401,402000,900.8004
403,404000,1945.9176
405,406000,540.2622
407,408000,-2.2036
409,410000,1661.1092
411,412000,989.0711
413,414000,2050.2266
415,416000,373.5342
417,418000,2110.5846
419,420000,3.8542
421,422000,-9.952
423,424000,1848.7221
425,426000,1036.0746
427,428000,1933.6209
429,430000,913.0647
431,432000,1383.2116
433,434000,1134.3611
435,436000,1352.4098
437,438000,678.5427
439,440000,818.5685
441,442000,667.4787
443,444000,170.1204
445,446000,420.9427
447,448000,342.2308
449,450000,1135.2145
451,452000,1528.1628
453,454000,407.2946
455,456000,1818.3752
457,458000,157.2406
459,460000,2315.3415
461,462000,670.3636
463,464000,1225.6138
465,466000,1160.5335
467,468000,1703.5593
469,470000,2236.8036
471,472000,2604.4281
473,474000,1090.7796
475,476000,594.7404
477,478000,1801.8359
479,480000,1735.969
481,482000,1159.8111
483,484000,1504.6615
485,486000,860.2643
487,488000,1512.5364
489,490000,2130.4769
491,492000,1918.7166
493,494000,944.6408
495,496000,1524.0852
497,498000,2900.2136
499,500000,350.1986
501,502000,2821.904
503,504000,981.307
505,506000,1350.8807
507,508000,1806.6633
509,510000,2071.0638
511,512000,1197.1842
513,514000,381.8369
515,516000,1763.2749
517,518000,2190.4822
519,520000,727.2064
521,522000,1977.4251
523,524000,3333.4532
525,526000,3380.5993
527,528000,3420.2401
529,530000,3668.9618
531,532000,3003.6104
533,534000,3939.1425
535,536000,3182.5236
537,538000,3700.0872
539,540000,2914.9814
541,542000,3203.7641
543,544000,3174.3266
545,546000,3220.0284
547,548000,3261.9851
549,550000,3721.2507
551,552000,3086.9222
553,554000,3545.9359
555,556000,3125.5085
557,558000,3428.5958
559,560000,3220.8488
561,562000,3070.6785
563,564000,3533.6651
565,566000,3034.046
567,568000,3573.5521
569,570000,3060.5138
571,572000,3397.0757
573,574000,3038.1323
575,576000,3357.4086
577,578000,3939.2242
579,580000,3418.5171
581,582000,3137.5513
583,584000,3806.8827
585,586000,3500.887
587,588000,3720.3452
589,590000,3418.8743
591,592000,3079.5176
593,594000,3640.3675
595,596000,3352.3529
597,598000,3407.6324
599,600000,3114.7277
601,602000,3674.7582
603,604000,3567.5179
605,606000,3575.6456
607,608000,3356.0055
609,610000,2980.8253
611,612000,3981.3989
613,614000,3295.5966
615,616000,3438.0844
617,618000,3481.7896
619,620000,3745.9326
621,622000,3340.3287
623,624000,3731.8217
625,626000,3667.2344
627,628000,3420.1733
629,630000,3098.4173
631,632000,3630.4977
633,634000,3158.84
635,636000,3816.9639
637,638000,3624.6424
639,640000,3569.5433
641,642000,3217.4339
643,644000,3381.5688
645,646000,3633.4395
647,648000,3473.7509
649,650000,3401.277
651,652000,3567.8729
653,654000,3324.8788
655,656000,3376.1998
657,658000,3145.1201
659,660000,3647.7754
661,662000,3575.278
663,664000,3640.7094
665,666000,3267.1594
667,668000,3270.9926
669,670000,3499.9603
671,672000,3355.6963
673,674000,2963.1613
675,676000,2862.4988
677,678000,3230.6879
679,680000,2769.3379
681,682000,3396.3924
683,684000,3188.8394
685,686000,3223.2833
687,688000,3683.6373
689,690000,3420.4273
691,692000,3672.1536
693,694000,3193.247
695,696000,3361.8294
697,698000,3397.5629
699,700000,3165.1429
701,702000,3180.0446
703,704000,3048.7873
705,706000,3177.9664
707,708000,3835.8696
709,710000,3206.6968
711,712000,3451.5855
713,714000,3185.7517
715,716000,3597.435
717,718000,3804.011
719,720000,3459.1402
721,722000,3322.2947
723,724000,3811.1083
725,726000,3208.2871
727,728000,3182.7758
729,730000,3178.0922
731,732000,2984.4257
733,734000,3499.2951
735,736000,3609.5885
737,738000,3437.4949
739,740000,3476.7152
741,742000,2490.8275
743,744000,3370.8283
745,746000,3269.4109
747,748000,3409.1619
749,750000,3611.428
751,752000,2915.9436
753,754000,3274.083
755,756000,3567.8202
757,758000,3057.3646
759,760000,3693.5895
761,762000,2861.4806
763,764000,3759.594
765,766000,3454.4184
767,768000,3670.4295
769,770000,3251.7236
771,772000,3055.6747
773,774000,3313.8895
775,776000,2838.6348
777,778000,3725.526
779,780000,3543.2049
781,782000,3067.0
783,784000,3614.2248
785,786000,3232.971
787,788000,3245.7161
789,790000,2753.6122
791,792000,3806.2407
793,794000,3273.348
795,796000,3551.1038
797,798000,3834.4698
799,800000,3461.4518
801,802000,3771.5827
803,804000,2440.788
805,806000,2882.3501
807,808000,3301.3792
809,810000,3306.099
811,812000,3128.0869
813,814000,2996.0654
815,816000,3699.2512
817,818000,3019.1318
819,820000,2977.741
821,822000,3565.0171
823,824000,3167.6957
825,826000,3586.1847
827,828000,2805.1991
