episode,timestep,reward
1,1000,-139.8894
3,2000,-170.6651
5,3000,-194.6632
7,4000,-159.1951
9,5000,-156.8658
11,6000,-123.5921
13,7000,-117.1326
15,8000,-120.9469
17,9000,-7.1939
19,10000,-118.1869
21,11000,-151.9259
23,12000,-79.9735
25,13000,-186.4899
27,14000,-81.5325
29,15000,-132.8817
31,16000,-119.0451
33,17000,-145.1226
35,18000,-177.9283
37,19000,-146.6159
39,20000,-177.1804
41,21000,-92.2267
43,22000,-147.1009
45,23000,-132.5284
47,24000,-114.3462
49,25000,-101.1825
51,26000,-109.0439
53,27000,-152.3988
55,28000,-146.3764
57,29000,-117.4484
59,30000,-193.7558
61,31000,-120.4846
63,32000,-46.1493
65,33000,-67.2318
67,34000,-152.3776
69,35000,-149.7267
71,36000,-48.2772
73,37000,-130.6782
75,38000,-120.2428
77,39000,-113.867
79,40000,-142.0148
81,41000,-103.6265
83,42000,-120.1025
85,43000,-58.9983
87,44000,-119.7324
89,45000,-139.2343
91,46000,-142.8387
93,47000,-54.6015
95,48000,-127.5074
97,49000,-165.6274
99,50000,-133.6209
101,51000,-64.0217
103,52000,-42.2171
105,53000,-122.2723
107,54000,-92.1895
109,55000,-192.5319
111,56000,-109.8399
113,57000,-89.8917
115,58000,0.6209
117,59000,-11.613
119,60000,-111.5049
121,61000,-131.1423
123,62000,-150.364
125,63000,-166.8372
127,64000,-104.6707
129,65000,-110.3056
131,66000,-147.2864
133,67000,-93.4716
135,68000,-130.1544
137,69000,-115.5731
139,70000,-159.3976
141,71000,-154.1951
143,72000,-161.5595
145,73000,-96.0261
147,74000,-110.1056
149,75000,-124.7402
151,76000,-175.123
153,77000,-114.3573
155,78000,-134.9647
157,79000,-66.3075
159,80000,-81.9234
161,81000,-114.2317
163,82000,-229.9812
165,83000,-199.4395
167,84000,-95.9237
169,85000,-143.3784
171,86000,-165.2542
173,87000,-121.4085
175,88000,-108.4749
177,89000,-181.0454
179,90000,-71.5952
181,91000,-97.7569
183,92000,-153.7123
185,93000,-67.322
187,94000,-168.0792
189,95000,-172.5039
191,96000,-128.6429
193,97000,-140.0894
195,98000,-141.5833
197,99000,-140.7983
199,100000,-142.8204
201,101000,-134.6637
203,102000,-113.1817
205,103000,-163.2806
207,104000,-216.1181
209,105000,-140.6693
211,106000,-112.6482
213,107000,-175.0959
215,108000,-138.2157
217,109000,-40.354
219,110000,-102.8869
221,111000,-151.1712
223,112000,-174.2212
225,113000,-153.5102
227,114000,-126.7422
229,115000,-106.1865
231,116000,-135.6407
233,117000,-119.9598
235,118000,-71.0098
237,119000,-121.9282
239,120000,-121.1435
241,121000,-153.7017
243,122000,-163.8693
245,123000,-82.9895
247,124000,-116.8853
249,125000,-176.616
251,126000,-110.3406
253,127000,-132.2126
255,128000,-23.2517
257,129000,-190.8722
259,130000,-77.4919
261,131000,-178.4591
263,132000,-100.0331
265,133000,-140.2701
267,134000,-167.8009
269,135000,-105.4857
271,136000,-67.5148
273,137000,-132.7569
275,138000,-120.6481
277,139000,65.3992
279,140000,-18.21
281,141000,-134.0512
283,142000,-136.6923
285,143000,-87.9607
287,144000,143.5609
289,145000,-141.0037
291,146000,-67.3519
293,147000,-161.4542
295,148000,-110.3852
297,149000,-105.339
299,150000,-109.5664
301,151000,-179.256
303,152000,-170.985
305,153000,-161.0419
307,154000,-159.227
309,155000,-68.9669
311,156000,-137.0923
313,157000,-104.7261
315,158000,-149.0594
317,159000,-97.5846
319,160000,-139.1674
321,161000,-86.4107
323,162000,-169.711
325,163000,-162.6647
327,164000,-107.7647
329,165000,-142.2752
331,166000,-196.5706
333,167000,-80.7135
335,168000,-97.1806
337,169000,-162.7972
339,170000,-137.7709
341,171000,-177.449
343,172000,-99.9401
345,173000,-62.0308
347,174000,-139.3506
349,175000,-145.5585
351,176000,-112.2281
353,177000,-56.7172
355,178000,-108.807
357,179000,-98.0343
359,180000,-153.2824
361,181000,-131.0448
363,182000,-100.3239
365,183000,-117.0189
367,184000,-145.5903
369,185000,-150.0887
371,186000,-95.1789
373,187000,-130.7788
375,188000,-109.2543
377,189000,-189.8027
379,190000,-129.9144
381,191000,-133.73
383,192000,-149.6475
385,193000,-134.2206
387,194000,-107.2904
389,195000,23.143
391,196000,-143.5435
393,197000,14.2934
395,198000,-143.2942
397,199000,-98.9234
399,200000,-114.0676
401,201000,-52.3447
403,202000,-129.0801
405,203000,-87.3929
407,204000,-87.2927
409,205000,-135.4608
411,206000,-113.0017
413,207000,-96.1601
415,208000,-157.3011
417,209000,-134.6637
419,210000,-120.8548
421,211000,-112.9234
423,212000,-138.217
425,213000,-134.5006
427,214000,-102.463
429,215000,-139.3384
431,216000,-90.6377
433,217000,-81.2829
435,218000,-182.565
437,219000,-152.5373
439,220000,-174.9511
441,221000,-153.5102
443,222000,-96.5695
445,223000,-116.3262
447,224000,-128.3172
449,225000,12.0554
451,226000,-159.8807
453,227000,-143.2342
455,228000,-145.6607
