episode,timestep,reward
1,2000,-150.556
3,4000,-106.8034
5,6000,-148.8496
7,8000,-135.1384
9,10000,-92.7453
11,12000,-114.7339
13,14000,-127.6342
15,16000,-132.5148
17,18000,-90.1886
19,20000,-153.6647
21,22000,-131.7121
23,24000,-136.7252
25,26000,-142.3396
27,28000,-157.789
29,30000,-132.01
31,32000,-130.5112
33,34000,-131.3146
35,36000,-109.3864
37,38000,-91.1332
39,40000,-128.2545
41,42000,-121.323
43,44000,-150.2494
45,46000,-108.5185
47,48000,-133.17
49,50000,-151.6828
51,52000,-149.7772
53,54000,-140.1868
55,56000,-114.3284
57,58000,-134.2276
59,60000,-145.7966
61,62000,-140.5313
63,64000,-125.7738
65,66000,-69.6478
67,68000,-93.701
69,70000,-142.6127
71,72000,-98.9278
73,74000,-143.1769
75,76000,-137.025
77,78000,-143.2731
79,80000,-118.0325
81,82000,-100.334
83,84000,-106.9301
85,86000,-147.9968
87,88000,-121.2025
89,90000,-114.7658
91,92000,-132.2553
93,94000,-134.088
95,96000,-148.1455
97,98000,-133.5743
99,100000,-140.7551
101,102000,-123.2606
103,104000,-95.1611
105,106000,-141.9386
107,108000,-99.9799
109,110000,-136.5182
111,112000,-137.6763
113,114000,-127.4518
115,116000,-133.03
117,118000,-121.694
119,120000,-132.261
121,122000,-128.1623
123,124000,-81.2902
125,126000,-71.1207
127,128000,-123.771
129,130000,-116.1185
131,132000,-124.9505
133,134000,-113.0594
135,136000,-143.2512
137,138000,-121.9878
139,140000,-127.2442
141,142000,-142.9555
143,144000,-70.4982
145,146000,-131.9379
147,148000,-116.4532
149,150000,-117.6463
151,152000,-143.809
153,154000,-93.2152
155,156000,-108.6493
157,158000,-130.7169
159,160000,-128.9312
161,162000,-114.6614
