episode,timestep,reward
1,1000,-136.2831
3,2000,-118.1772
5,3000,-48.9104
7,4000,-160.9309
9,5000,-148.0038
11,6000,-77.5792
13,7000,-119.7498
15,8000,-75.8417
17,9000,-130.1691
19,10000,-126.4323
21,11000,-111.4124
23,12000,-143.4478
25,13000,-116.5794
27,14000,-139.3703
29,15000,-74.9906
31,16000,-103.0823
33,17000,-149.3641
35,18000,-106.0526
37,19000,-132.6127
39,20000,-137.528
41,21000,-111.5097
43,22000,-97.7529
45,23000,-106.3614
47,24000,-110.3583
49,25000,-112.0916
51,26000,-118.9909
53,27000,-125.4003
55,28000,-121.1658
57,29000,-97.6656
59,30000,-71.4501
61,31000,-104.4413
63,32000,-153.8144
65,33000,-132.5168
67,34000,-75.7298
69,35000,-161.9016
71,36000,6.0395
73,37000,-72.1547
75,38000,-69.4336
77,39000,-69.1645
79,40000,-89.7029
81,41000,-97.0194
83,42000,-36.526
85,43000,-108.1881
87,44000,-141.4366
89,45000,-131.7905
91,46000,-75.3744
93,47000,-126.1479
95,48000,-123.9448
97,49000,-85.9623
99,50000,-106.5792
101,51000,-113.7421
103,52000,-96.7168
105,53000,-108.0402
107,54000,-69.1209
109,55000,-110.1141
111,56000,-127.9101
113,57000,-127.2555
115,58000,-79.7352
117,59000,-127.9967
119,60000,-60.1567
121,61000,-45.109
123,62000,-101.4914
125,63000,-152.5016
127,64000,-16.7861
129,65000,11.3964
131,66000,-157.8945
133,67000,-33.3466
135,68000,-59.4788
137,69000,-132.4201
139,70000,-69.5444
141,71000,-119.5382
143,72000,-18.0182
145,73000,-137.0021
147,74000,-38.7231
