episode,timestep,reward
1,1000,-0.123
3,2000,-163.2386
5,3000,-96.3398
7,4000,-144.6153
9,5000,-136.6461
11,6000,-155.7561
13,7000,-141.2425
15,8000,-110.4139
17,9000,-94.0641
19,10000,-110.5795
21,11000,-110.5399
23,12000,-64.3748
25,13000,-129.7071
27,14000,-138.6371
29,15000,-161.0274
31,16000,-166.1908
33,17000,-101.8453
35,18000,-82.2966
37,19000,-218.03
39,20000,-202.5614
41,21000,-168.7778
43,22000,-221.8911
45,23000,-122.9568
47,24000,-175.0559
49,25000,-124.761
51,26000,-45.3162
53,27000,-130.0976
55,28000,-120.2579
57,29000,-89.0156
59,30000,-88.1527
61,31000,-117.2462
63,32000,-110.974
65,33000,-134.5938
67,34000,-90.516
69,35000,-86.5944
71,36000,-90.668
73,37000,-79.5674
75,38000,-154.577
77,39000,-176.3028
79,40000,-53.8589
81,41000,-133.0313
83,42000,-74.6399
85,43000,-123.3055
87,44000,-143.9022
89,45000,-147.3109
91,46000,-182.9437
93,47000,-137.9939
95,48000,-181.9107
97,49000,-136.9334
99,50000,-69.7005
101,51000,-103.1377
103,52000,-37.6394
105,53000,-146.329
107,54000,-146.3727
109,55000,-114.6055
111,56000,-119.1308
113,57000,-112.2965
115,58000,-71.5847
117,59000,-139.9528
119,60000,-110.7676
121,61000,-173.7713
123,62000,-147.5501
125,63000,-180.8894
127,64000,-83.3261
129,65000,-121.6419
131,66000,-220.9206
133,67000,-178.8599
135,68000,-100.703
137,69000,-82.643
139,70000,-118.6362
141,71000,-124.2046
143,72000,-134.185
145,73000,-129.607
147,74000,-142.567
149,75000,-157.2827
151,76000,-136.3768
153,77000,-89.6476
155,78000,-139.8118
157,79000,-134.9959
159,80000,-109.7859
161,81000,-147.1264
163,82000,-13.7925
165,83000,-144.0281
167,84000,-163.6894
169,85000,-78.1459
171,86000,-129.3432
173,87000,-152.1
175,88000,-42.3563
177,89000,-137.0039
179,90000,-110.0694
181,91000,-133.7105
183,92000,-153.6476
185,93000,-124.2178
187,94000,-65.2259
189,95000,-126.9245
191,96000,-170.9339
193,97000,-47.6333
195,98000,-125.6242
197,99000,-153.8369
199,100000,-85.2787
201,101000,-94.7925
203,102000,-148.546
205,103000,-139.2347
207,104000,-113.8101
209,105000,-160.5877
211,106000,-161.8328
213,107000,-171.4062
215,108000,-111.9166
217,109000,-105.6454
219,110000,-116.0346
221,111000,-135.4103
223,112000,-100.0598
225,113000,-161.7028
227,114000,-145.2174
229,115000,-121.8964
231,116000,-111.5451
233,117000,-81.4175
235,118000,-194.2363
237,119000,-160.2063
239,120000,-93.0477
241,121000,-149.7956
243,122000,-129.6768
245,123000,-115.5841
247,124000,-162.0777
249,125000,-100.5927
251,126000,-147.7179
253,127000,-157.6302
255,128000,-65.1431
257,129000,-133.2604
259,130000,-97.0081
261,131000,-117.4677
263,132000,-151.9769
265,133000,-130.1019
267,134000,-107.3382
269,135000,-164.9622
271,136000,-176.4683
273,137000,-137.2646
275,138000,-158.9532
277,139000,-136.9471
279,140000,-42.0981
