episode,timestep,reward
1,2000,-157.3125
3,4000,-140.4751
5,6000,-136.9909
7,8000,-123.0763
9,10000,-114.4507
11,12000,-107.5773
13,14000,-100.8092
15,16000,-129.4568
17,18000,-88.7184
19,20000,-103.794
21,22000,-108.1894
23,24000,-101.4184
25,26000,-102.4188
27,28000,-93.6485
29,30000,-61.1408
31,32000,-58.9693
33,34000,-65.7425
35,36000,-99.7239
37,38000,-76.7371
39,40000,-66.8331
41,42000,20.8491
43,44000,-81.5567
45,46000,-55.8955
47,48000,-72.0634
49,50000,-41.1079
51,52000,-84.572
53,54000,-56.4972
55,56000,-63.7408
57,58000,-57.9004
59,60000,-66.1022
61,62000,-80.2443
63,64000,-49.7514
65,66000,-45.894
67,68000,-42.8244
69,70000,-53.974
71,72000,-54.4598
73,74000,-18.9269
75,76000,-37.2013
77,78000,-28.8063
79,80000,39.9481
81,82000,26.8551
83,84000,175.6499
85,86000,1706.7462
87,88000,269.3266
89,90000,627.5871
91,92000,11.4719
93,94000,11.5918
95,96000,11.3231
97,98000,11.1048
99,100000,25.3135
101,102000,1.0211
103,104000,8.8608
105,106000,11.0326
107,108000,20.5213
109,110000,15.0873
111,112000,6.2315
113,114000,17.4164
115,116000,4.7862
117,118000,19.3501
119,120000,-4.106
121,122000,12.6813
123,124000,13.7654
125,126000,17.293
127,128000,20.1979
129,130000,2.3878
131,132000,-13.7437
133,134000,164.5811
135,136000,-0.5546
137,138000,-154.3164
139,140000,-160.9724
141,142000,-112.8571
143,144000,-47.2558
145,146000,-110.2563
147,148000,-121.3515
149,150000,-122.5969
151,152000,-108.6955
153,154000,-111.987
155,156000,-110.2501
157,158000,-112.6409
159,160000,-114.9318
161,162000,-111.1113
163,164000,-102.1527
