episode,timestep,reward
1,2000,-243.7996
3,4000,-201.6148
5,6000,-201.2288
7,8000,-237.6936
9,10000,-206.5303
11,12000,-172.9458
13,14000,-176.2575
15,16000,-187.7614
17,18000,-172.3563
19,20000,-177.0833
21,22000,-222.4827
23,24000,-228.4065
25,26000,-201.3729
27,28000,-201.4489
29,30000,-76.4104
31,32000,-190.0759
33,34000,-196.046
35,36000,-165.9126
37,38000,-151.5719
39,40000,-116.468
41,42000,-116.9748
43,44000,33.7238
45,46000,-52.5332
47,48000,-124.8485
49,50000,80.0054
51,52000,-81.3643
53,54000,67.9654
55,56000,-26.7568
57,58000,224.9333
59,60000,-91.0926
61,62000,-83.4131
63,64000,-69.8438
65,66000,-68.0028
67,68000,59.5683
69,70000,678.9063
71,72000,2.7204
73,74000,60.432
75,76000,151.6922
77,78000,428.3891
79,80000,140.486
81,82000,661.754
83,84000,-1.6487
85,86000,366.2272
87,88000,-151.1217
89,90000,65.7472
91,92000,1011.2971
93,94000,256.1503
95,96000,502.5711
97,98000,250.5567
99,100000,737.1099
101,102000,337.7231
103,104000,479.4692
105,106000,506.8239
107,108000,-17.7427
109,110000,39.3696
111,112000,334.1077
113,114000,354.7452
115,116000,230.8617
117,118000,805.4367
119,120000,560.9318
121,122000,354.3515
123,124000,544.6539
125,126000,112.7952
127,128000,303.2592
129,130000,-27.8692
131,132000,757.4944
133,134000,678.8213
135,136000,79.0897
137,138000,459.7937
139,140000,325.1266
141,142000,363.3995
143,144000,36.1881
145,146000,154.921
147,148000,37.1242
149,150000,860.9662
151,152000,-7.6054
153,154000,109.701
155,156000,656.6899
157,158000,278.7032
159,160000,583.771
161,162000,414.7367
163,164000,10.8513
165,166000,425.1896
167,168000,-35.4839
169,170000,527.5366
171,172000,303.3896
173,174000,261.599
175,176000,142.6383
177,178000,172.03
179,180000,650.6257
181,182000,339.8466
183,184000,731.9988
185,186000,528.776
187,188000,88.6697
189,190000,322.0641
191,192000,487.6003
193,194000,50.5275
195,196000,78.539
197,198000,527.5547
199,200000,915.7128
201,202000,619.6777
203,204000,484.2745
205,206000,618.5785
207,208000,1005.8704
209,210000,65.1747
211,212000,638.5449
213,214000,717.7471
215,216000,277.1146
217,218000,505.6306
219,220000,603.5371
221,222000,554.2724
223,224000,507.4435
225,226000,533.0425
227,228000,454.558
229,230000,216.8753
231,232000,220.692
233,234000,360.6341
235,236000,572.7405
237,238000,-21.4799
239,240000,114.3772
241,242000,165.6577
243,244000,771.9554
245,246000,48.179
247,248000,95.1829
249,250000,792.9526
251,252000,372.8475
253,254000,697.231
255,256000,677.8191
257,258000,1167.0092
259,260000,830.183
261,262000,1280.1206
263,264000,300.1109
265,266000,54.0332
267,268000,97.0768
269,270000,222.0079
271,272000,116.9356
273,274000,430.4778
275,276000,120.1441
277,278000,238.1523
279,280000,597.9679
281,282000,329.4948
283,284000,106.7854
285,286000,472.5719
287,288000,693.4473
289,290000,187.9237
291,292000,460.2303
293,294000,331.2223
295,296000,412.0912
297,298000,316.4092
299,300000,542.612
301,302000,365.8168
303,304000,557.6876
305,306000,615.9003
307,308000,1002.5575
309,310000,739.0847
311,312000,413.2483
313,314000,816.6631
315,316000,136.0274
317,318000,183.253
319,320000,76.1112
321,322000,555.971
323,324000,487.4321
325,326000,1124.407
327,328000,183.4397
329,330000,286.5363
331,332000,920.7667
333,334000,225.9055
335,336000,918.9642
337,338000,295.7324
339,340000,734.5852
341,342000,270.0116
343,344000,205.2613
345,346000,32.7132
347,348000,762.0736
349,350000,850.0958
351,352000,164.0962
353,354000,390.2719
355,356000,246.3434
357,358000,581.7553
359,360000,530.7375
361,362000,471.6871
363,364000,1046.7872
365,366000,344.3303
367,368000,23.229
369,370000,128.5275
371,372000,136.5092
373,374000,855.653
375,376000,1261.8776
377,378000,49.9229
379,380000,1276.6169
381,382000,-8.8257
383,384000,-43.0504
385,386000,-47.8385
387,388000,82.6748
389,390000,95.7782
391,392000,118.1904
393,394000,-34.5792
395,396000,128.5379
