episode,timestep,reward
1,2000,-131.0783
3,4000,-159.4371
5,6000,-143.6591
7,8000,-132.2308
9,10000,-128.563
11,12000,-143.0165
13,14000,-136.9517
15,16000,-120.3042
17,18000,-125.4713
19,20000,-101.4673
21,22000,-111.3426
23,24000,-108.6933
25,26000,-94.086
27,28000,-63.5107
29,30000,-49.887
31,32000,-84.8576
33,34000,-49.4734
35,36000,-88.3541
37,38000,-92.6041
39,40000,-34.6736
41,42000,-40.1146
43,44000,-68.9306
45,46000,-75.1469
47,48000,-5.9871
49,50000,-48.1984
51,52000,-10.2215
53,54000,-102.1375
55,56000,74.4188
57,58000,-34.6401
59,60000,48.9299
61,62000,20.6948
63,64000,88.9399
65,66000,-26.0405
67,68000,43.0142
69,70000,20.0273
71,72000,63.3858
73,74000,43.1287
75,76000,175.6081
77,78000,241.2176
79,80000,74.6741
81,82000,277.3051
83,84000,46.917
85,86000,20.0581
87,88000,23.0348
89,90000,111.7845
91,92000,161.228
93,94000,185.233
95,96000,125.754
97,98000,218.7561
99,100000,107.8308
101,102000,151.5621
103,104000,452.305
105,106000,88.3767
107,108000,357.4956
109,110000,58.7062
111,112000,168.4645
113,114000,160.4989
115,116000,230.5412
117,118000,201.9514
119,120000,247.4138
121,122000,389.0413
123,124000,388.7534
125,126000,600.8639
127,128000,252.6378
129,130000,336.9795
131,132000,262.2383
133,134000,255.8702
135,136000,335.2643
137,138000,290.8235
139,140000,239.1434
141,142000,787.9786
143,144000,450.9127
145,146000,249.2675
147,148000,272.3276
149,150000,380.256
151,152000,427.9566
153,154000,610.2094
155,156000,496.453
157,158000,327.8665
159,160000,564.0756
161,162000,245.6327
163,164000,718.5292
165,166000,596.146
167,168000,380.2977
169,170000,422.4553
171,172000,765.16
173,174000,435.3273
175,176000,555.938
177,178000,560.1459
179,180000,346.2064
181,182000,442.7059
183,184000,542.5484
185,186000,583.3604
187,188000,396.416
189,190000,479.15
191,192000,636.7751
193,194000,334.1668
195,196000,681.2386
197,198000,568.5662
199,200000,693.2279
201,202000,673.4631
203,204000,646.8094
205,206000,616.5611
207,208000,486.7463
209,210000,638.3488
211,212000,516.0153
213,214000,709.8014
215,216000,674.1485
217,218000,537.4511
219,220000,557.9263
221,222000,866.4695
223,224000,918.4318
225,226000,470.6842
227,228000,785.4254
229,230000,696.9623
231,232000,625.29
233,234000,642.0198
235,236000,725.1898
237,238000,1007.7913
239,240000,728.1474
241,242000,927.1127
243,244000,1014.7551
245,246000,980.8683
247,248000,925.4048
249,250000,721.8145
251,252000,766.3905
253,254000,976.7957
255,256000,901.3561
257,258000,740.7989
259,260000,639.9722
261,262000,732.8041
263,264000,820.5929
265,266000,922.7873
267,268000,658.6927
269,270000,735.8848
271,272000,692.7337
273,274000,671.7386
275,276000,745.0721
277,278000,1068.3959
279,280000,1040.3437
281,282000,795.8207
283,284000,1012.822
285,286000,611.5912
287,288000,795.1201
289,290000,668.5084
291,292000,782.3322
293,294000,961.5229
295,296000,1018.6171
297,298000,803.1103
299,300000,820.4669
301,302000,1283.4669
303,304000,1036.6475
305,306000,1127.8873
307,308000,751.2911
309,310000,827.8241
311,312000,735.1358
313,314000,931.5949
315,316000,1373.2217
317,318000,902.7319
319,320000,1143.584
321,322000,1040.148
323,324000,1002.4459
325,326000,931.0571
