episode,timestep,reward
1,2000,-109.7285
3,4000,-88.9471
5,6000,-117.6146
7,8000,-92.7312
9,10000,-96.3215
11,12000,-112.5776
13,14000,-101.349
15,16000,-36.4284
17,18000,-72.6196
19,20000,-105.5674
21,22000,-98.6207
23,24000,-85.5154
25,26000,-83.0172
27,28000,-20.3116
29,30000,-83.0724
31,32000,-37.8527
33,34000,-93.4976
35,36000,11.4419
37,38000,-45.8762
39,40000,34.7014
41,42000,-78.2727
43,44000,-6.7792
45,46000,-10.7327
47,48000,130.7557
49,50000,-42.6943
51,52000,26.4602
53,54000,-73.7837
55,56000,27.8691
57,58000,81.6421
59,60000,47.0787
61,62000,181.5313
63,64000,92.8237
65,66000,536.5337
67,68000,-18.4876
69,70000,193.563
71,72000,143.1494
73,74000,163.3499
75,76000,10.152
77,78000,367.1654
79,80000,293.5827
81,82000,193.9686
83,84000,143.0771
85,86000,98.2226
87,88000,425.2778
89,90000,36.8977
91,92000,213.187
93,94000,122.9199
95,96000,5.2616
97,98000,454.9259
99,100000,695.0527
101,102000,94.6746
103,104000,74.7891
105,106000,39.4121
107,108000,402.4405
109,110000,400.0628
111,112000,464.6492
113,114000,372.3315
115,116000,99.7734
117,118000,262.1822
119,120000,250.4943
121,122000,428.0917
123,124000,392.1638
125,126000,411.1083
127,128000,289.4943
129,130000,241.1917
131,132000,310.4789
133,134000,285.4695
135,136000,240.1078
137,138000,259.545
139,140000,323.5253
141,142000,483.5469
143,144000,548.2848
145,146000,275.7371
147,148000,665.6199
149,150000,346.0141
151,152000,460.0582
153,154000,309.947
