episode,timestep,reward
1,2000,-768.6725
3,4000,-684.1457
5,6000,-725.0019
7,8000,-638.2413
9,10000,-685.2593
11,12000,-639.2347
13,14000,-712.493
15,16000,-613.0227
17,18000,-648.8005
19,20000,-628.8409
21,22000,-651.3339
23,24000,-595.4386
25,26000,-641.0141
27,28000,-617.7519
29,30000,-621.979
31,32000,-633.66
33,34000,-541.214
35,36000,-548.7105
37,38000,-524.4708
39,40000,-585.9553
41,42000,-550.6049
43,44000,-571.3797
45,46000,-550.6906
47,48000,-547.4049
49,50000,-493.8915
51,52000,-409.6143
53,54000,-569.0367
55,56000,-564.2977
57,58000,-599.3558
59,60000,-607.3546
61,62000,-271.0255
63,64000,-487.3557
65,66000,-373.4197
67,68000,-359.0908
69,70000,-562.2256
71,72000,-520.9878
73,74000,-387.3844
75,76000,-115.463
77,78000,-509.6698
79,80000,-398.0587
81,82000,-502.4125
83,84000,-275.7892
85,86000,-313.4424
87,88000,-292.9971
89,90000,-371.3384
91,92000,-201.7043
93,94000,-338.206
95,96000,-330.7408
97,98000,-134.8166
99,100000,-243.3654
101,102000,-3.842
103,104000,-283.5059
105,106000,-22.575
107,108000,-32.8635
109,110000,-424.6711
111,112000,-152.9463
