episode,timestep,reward
1,1000,-119.908
3,2000,-127.7327
5,3000,-128.7567
7,4000,-143.2007
9,5000,-162.6158
11,6000,-125.9848
13,7000,-159.3378
15,8000,-119.0498
17,9000,-122.8306
19,10000,-113.5717
21,11000,-87.6054
23,12000,-66.4672
25,13000,-120.1639
27,14000,-143.4395
29,15000,-119.9817
31,16000,-139.094
33,17000,-132.4143
35,18000,-132.0302
37,19000,-106.0832
39,20000,-143.149
41,21000,-166.4093
43,22000,-128.6532
45,23000,-115.7747
47,24000,-66.9007
49,25000,-93.561
51,26000,-148.6201
53,27000,-108.8179
55,28000,-137.164
57,29000,-132.4359
59,30000,-163.5037
61,31000,-119.2527
63,32000,-120.2803
65,33000,-123.7123
67,34000,-94.0731
69,35000,-122.0015
71,36000,-120.8611
73,37000,-155.1771
75,38000,-124.7278
77,39000,-108.1358
79,40000,-103.8477
81,41000,-102.0491
83,42000,-126.3861
85,43000,-93.6714
87,44000,-70.661
89,45000,-143.0279
91,46000,-130.0414
93,47000,-153.6461
95,48000,-110.8049
97,49000,-110.7791
99,50000,-121.2613
101,51000,-186.5797
103,52000,-118.5158
105,53000,-143.2596
107,54000,-126.1016
109,55000,-126.6115
111,56000,-99.4983
113,57000,-159.9948
115,58000,-143.0133
117,59000,-181.9133
119,60000,-118.4912
121,61000,-133.808
123,62000,-123.172
125,63000,-130.3234
127,64000,-112.8752
129,65000,-121.1399
131,66000,-114.7118
133,67000,-114.3043
135,68000,-125.9485
137,69000,-137.1267
139,70000,-133.1991
141,71000,-97.7993
143,72000,-96.1907
145,73000,-42.4854
147,74000,-141.942
149,75000,-95.1655
151,76000,-141.5753
153,77000,-65.2345
155,78000,-155.2613
157,79000,-82.4801
159,80000,-118.9337
161,81000,-99.2011
163,82000,-104.0298
165,83000,-107.8008
167,84000,-134.342
169,85000,-71.2609
171,86000,-88.2686
173,87000,-93.5672
175,88000,-89.688
177,89000,-83.2661
179,90000,-71.5333
181,91000,-89.76
183,92000,-85.2773
185,93000,-86.555
187,94000,-101.3506
189,95000,-116.3116
191,96000,-123.5077
193,97000,-95.0611
195,98000,-30.2844
197,99000,-70.877
199,100000,-81.6435
201,101000,-57.0787
203,102000,-54.9546
205,103000,-28.77
207,104000,-66.0472
209,105000,-127.8122
211,106000,-69.9486
213,107000,-81.0022
215,108000,-78.6715
217,109000,-106.604
219,110000,-60.5886
221,111000,-84.4352
223,112000,-47.8377
225,113000,-41.4914
227,114000,-57.2202
229,115000,-94.987
231,116000,-106.6647
233,117000,-58.173
235,118000,-124.0098
237,119000,-60.4967
239,120000,-50.3432
241,121000,-61.4795
243,122000,-71.2865
245,123000,-74.7166
247,124000,-36.406
249,125000,-81.0922
251,126000,-64.527
253,127000,-54.769
255,128000,52.3014
257,129000,-63.0245
259,130000,-61.9895
261,131000,-6.3408
263,132000,-87.7073
265,133000,-95.9337
267,134000,-23.0664
269,135000,-51.9434
271,136000,-9.4143
273,137000,-21.0834
275,138000,8.8961
277,139000,-28.0917
279,140000,-2.1122
281,141000,-12.6662
283,142000,-62.6401
285,143000,30.263
287,144000,-43.2527
289,145000,-58.7594
291,146000,48.8427
293,147000,58.9546
295,148000,6.9556
297,149000,-11.9671
299,150000,103.0718
301,151000,39.1151
303,152000,108.94
305,153000,47.7227
307,154000,-9.822
309,155000,63.0789
311,156000,57.8695
313,157000,25.764
315,158000,139.7767
317,159000,103.5916
319,160000,131.2319
321,161000,154.26
323,162000,242.1289
325,163000,307.4605
327,164000,161.4797
329,165000,187.8802
331,166000,158.3257
333,167000,398.7833
335,168000,273.6825
337,169000,181.0804
339,170000,161.8993
341,171000,318.6592
343,172000,150.5989
345,173000,292.4411
347,174000,426.4528
349,175000,431.8448
351,176000,571.4292
353,177000,614.1644
355,178000,619.1687
357,179000,620.3886
359,180000,621.8923
361,181000,487.7019
363,182000,631.1336
365,183000,454.4285
367,184000,551.5488
369,185000,779.2935
371,186000,513.9999
373,187000,496.9062
375,188000,391.1167
377,189000,398.4113
379,190000,511.7671
381,191000,300.3014
383,192000,445.429
385,193000,645.723
387,194000,703.9686
389,195000,709.4437
391,196000,720.1359
393,197000,756.8236
395,198000,738.4395
397,199000,737.2371
399,200000,860.001
401,201000,1005.5871
403,202000,800.8265
405,203000,1217.8037
407,204000,833.2904
409,205000,994.5002
411,206000,1222.878
413,207000,1094.6239
415,208000,1041.8972
417,209000,972.6652
419,210000,1042.157
421,211000,930.9502
423,212000,1141.703
425,213000,821.6028
427,214000,1132.7735
