episode,timestep,reward
1,1000,-102.1487
3,2000,-105.849
5,3000,-124.4324
7,4000,-87.8938
9,5000,-139.9375
11,6000,-145.3827
13,7000,-80.8805
15,8000,-139.3499
17,9000,-44.3939
19,10000,-111.6192
21,11000,-128.9862
23,12000,-120.5729
25,13000,-134.1777
27,14000,-93.8503
29,15000,-114.4686
31,16000,-108.3853
33,17000,-51.7542
35,18000,-109.233
37,19000,-105.1144
39,20000,-143.3094
41,21000,-104.8574
43,22000,-107.6471
45,23000,-167.0367
47,24000,-137.4059
49,25000,-46.3758
51,26000,-132.6976
53,27000,-132.2099
55,28000,-115.387
57,29000,-142.9094
59,30000,-140.6289
61,31000,-99.4142
63,32000,-102.7243
65,33000,-143.4044
67,34000,-108.912
69,35000,-126.3376
71,36000,-150.6033
73,37000,-80.9807
75,38000,-134.078
77,39000,-126.7597
79,40000,-85.3835
81,41000,-115.9635
83,42000,-119.9159
85,43000,-101.3581
87,44000,-108.1607
89,45000,-153.3173
91,46000,-123.979
93,47000,-131.1638
95,48000,-100.6221
97,49000,-159.1551
99,50000,-105.2871
101,51000,-116.1948
103,52000,-86.0843
105,53000,-103.9737
107,54000,-112.9477
109,55000,-113.2563
111,56000,-157.2371
113,57000,-89.1796
115,58000,-119.3669
117,59000,-109.6733
119,60000,-101.4274
121,61000,-118.6514
123,62000,-81.7829
125,63000,-80.383
127,64000,-122.7341
129,65000,-150.5119
131,66000,-123.1636
133,67000,-140.6895
135,68000,-88.492
137,69000,-131.5501
139,70000,-122.5116
141,71000,-127.6101
143,72000,-103.0975
145,73000,-187.9796
