episode,timestep,reward
1,2000,-173.4403
3,4000,-124.8975
5,6000,-133.8513
7,8000,-161.134
9,10000,-152.4809
11,12000,-160.366
13,14000,196.5235
15,16000,-143.4388
17,18000,-150.8807
19,20000,-72.2126
21,22000,38.926
23,24000,-109.7074
25,26000,125.2343
27,28000,-130.7339
29,30000,1023.9075
31,32000,-2.4432
33,34000,111.3413
35,36000,-23.1831
37,38000,-10.2401
39,40000,291.4077
41,42000,486.8847
43,44000,387.4909
45,46000,117.6068
47,48000,487.3204
49,50000,257.7979
51,52000,50.7461
53,54000,468.0968
55,56000,385.7032
57,58000,1118.6343
59,60000,741.3202
61,62000,1111.0741
63,64000,1129.9869
65,66000,363.7655
67,68000,1705.4953
69,70000,1831.2409
71,72000,532.8581
73,74000,1293.8097
75,76000,2189.4361
77,78000,968.4402
79,80000,2130.0554
81,82000,1140.8293
83,84000,1679.1256
85,86000,1800.2656
87,88000,2518.0774
89,90000,1701.3932
91,92000,1586.7586
93,94000,1582.5295
95,96000,891.0758
97,98000,1712.8083
99,100000,1499.8098
101,102000,1928.22
103,104000,1154.7636
105,106000,1939.9336
107,108000,1515.6011
109,110000,854.8427
111,112000,1869.1863
113,114000,723.9278
115,116000,1769.464
117,118000,1728.9743
119,120000,698.6334
121,122000,1617.8808
123,124000,2509.7758
125,126000,947.5023
127,128000,2402.714
129,130000,2454.618
131,132000,1380.7424
133,134000,2163.3656
135,136000,3256.4271
137,138000,2131.9858
139,140000,2529.7946
141,142000,2182.1594
143,144000,1343.1168
145,146000,3433.957
147,148000,1308.1094
149,150000,1809.2878
151,152000,2052.4485
153,154000,2662.8261
155,156000,1634.0206
157,158000,2169.6711
159,160000,3024.0525
161,162000,1182.2739
163,164000,1292.3497
165,166000,2835.4235
167,168000,1785.3878
169,170000,2732.6692
171,172000,1949.5502
173,174000,2758.9144
175,176000,2100.5395
177,178000,1429.1702
179,180000,2746.7543
181,182000,2024.8136
183,184000,1801.9075
185,186000,2499.2317
187,188000,2816.5544
189,190000,2589.7239
191,192000,1306.3192
193,194000,2740.9874
195,196000,2202.8872
197,198000,1809.5512
199,200000,1649.2658
201,202000,933.9737
203,204000,2942.9584
205,206000,3920.4806
207,208000,2200.5246
209,210000,2278.2663
211,212000,2952.1454
213,214000,1455.7815
215,216000,3239.7142
217,218000,2183.6797
219,220000,2101.5332
221,222000,2432.0665
223,224000,2131.0983
225,226000,2911.8069
227,228000,2970.7664
229,230000,2246.0386
231,232000,3049.4731
233,234000,2428.3504
235,236000,2407.7308
237,238000,3069.2279
239,240000,2731.4636
241,242000,3454.9261
243,244000,2627.2632
245,246000,2119.6202
247,248000,2081.1433
249,250000,3046.2957
251,252000,2557.5021
253,254000,3385.1014
255,256000,2761.2427
257,258000,2348.5549
259,260000,3703.6104
261,262000,3278.5244
263,264000,2148.4391
265,266000,2629.5483
267,268000,2081.7422
269,270000,3699.7421
