episode,timestep,reward
1,2000,-182.8644
3,4000,-149.7182
5,6000,-140.6816
7,8000,-38.821
9,10000,9.3522
11,12000,72.253
13,14000,239.4255
15,16000,-90.8955
17,18000,-12.3772
19,20000,-117.5971
21,22000,-68.469
23,24000,90.3572
25,26000,-76.692
27,28000,61.7361
29,30000,-101.687
31,32000,252.5136
33,34000,278.5754
35,36000,-100.7201
37,38000,159.4761
39,40000,-27.1125
41,42000,91.9476
43,44000,102.2536
45,46000,417.6759
47,48000,202.326
49,50000,-76.3332
51,52000,304.0752
53,54000,34.9047
55,56000,531.5468
57,58000,129.3662
59,60000,330.566
61,62000,473.7745
63,64000,-60.9297
65,66000,769.89
67,68000,103.3563
69,70000,194.4534
71,72000,344.4344
73,74000,303.3803
75,76000,698.6221
77,78000,-42.4628
79,80000,133.0691
81,82000,56.6527
83,84000,-23.2827
85,86000,544.6521
87,88000,960.3941
89,90000,163.8324
91,92000,338.5149
93,94000,376.9502
95,96000,407.3371
97,98000,686.5764
99,100000,373.3397
101,102000,526.6898
103,104000,61.5812
105,106000,478.9917
107,108000,240.5881
109,110000,411.0228
111,112000,531.1465
113,114000,759.3694
115,116000,337.4807
117,118000,554.1691
119,120000,753.9709
121,122000,540.7193
123,124000,578.3823
125,126000,1108.9368
127,128000,461.0346
129,130000,490.4471
131,132000,502.6164
133,134000,507.3632
135,136000,461.6319
137,138000,678.8539
139,140000,352.613
141,142000,1022.2234
143,144000,666.8362
145,146000,258.2585
147,148000,771.8497
149,150000,847.4576
151,152000,309.1972
153,154000,940.6898
155,156000,1688.1043
157,158000,968.5014
159,160000,1239.3609
161,162000,790.2291
163,164000,586.578
165,166000,781.8608
167,168000,383.2473
169,170000,569.36
171,172000,191.1768
173,174000,1252.6813
175,176000,1452.6885
177,178000,129.2106
179,180000,844.7658
181,182000,1101.5571
183,184000,647.5562
185,186000,399.3674
187,188000,1782.4534
189,190000,1463.1209
191,192000,499.7497
193,194000,1379.8208
195,196000,1475.3198
197,198000,691.482
199,200000,1065.8868
201,202000,1800.8935
203,204000,773.7198
205,206000,1047.4045
207,208000,1711.2028
209,210000,863.4148
211,212000,871.8796
213,214000,321.5038
215,216000,1222.352
217,218000,2183.6171
219,220000,1240.163
221,222000,414.2027
223,224000,1844.0818
225,226000,2356.9088
227,228000,654.3459
229,230000,847.5255
231,232000,984.9139
233,234000,2216.7914
235,236000,1410.3813
237,238000,947.5062
239,240000,1474.3954
241,242000,1448.0995
243,244000,1659.7144
245,246000,3125.064
247,248000,1512.9362
249,250000,811.4763
251,252000,729.3017
253,254000,774.0613
255,256000,1343.4742
257,258000,1292.6224
259,260000,867.1202
261,262000,1567.3344
263,264000,1049.5011
265,266000,2412.3436
267,268000,1099.3726
269,270000,1845.3013
271,272000,1870.0303
273,274000,1228.6502
275,276000,1933.2465
277,278000,1643.0723
279,280000,596.7731
281,282000,3100.5868
283,284000,828.4859
285,286000,2994.5294
287,288000,2863.9977
289,290000,865.1803
291,292000,2150.6161
293,294000,2017.9168
295,296000,2504.5311
297,298000,1116.8095
299,300000,1096.6927
301,302000,1167.1809
303,304000,1346.4068
305,306000,2483.6138
307,308000,3014.374
309,310000,1592.2355
311,312000,1653.0978
313,314000,1419.0512
315,316000,2640.6728
317,318000,2857.9348
319,320000,2862.713
321,322000,2636.5538
323,324000,2321.9519
325,326000,1774.7024
327,328000,1637.8649
329,330000,1545.8996
331,332000,1857.9502
333,334000,1705.2729
335,336000,2055.5903
337,338000,2092.2909
339,340000,2717.1064
341,342000,2566.8514
343,344000,2127.9482
345,346000,2435.9156
347,348000,2912.3285
349,350000,2398.7967
351,352000,2460.6101
353,354000,2771.6867
355,356000,1293.6779
357,358000,2348.1362
359,360000,2692.3159
361,362000,2108.4151
363,364000,1698.7501
365,366000,2663.1539
367,368000,2427.7474
369,370000,2833.5285
371,372000,2831.9433
373,374000,2242.4466
375,376000,1524.8885
377,378000,2633.1818
379,380000,2908.725
381,382000,1918.7744
383,384000,1564.184
385,386000,2725.2589
387,388000,2881.031
389,390000,1632.8848
391,392000,2720.3225
393,394000,2837.5617
395,396000,3083.2395
397,398000,2609.3502
399,400000,2667.528
401,402000,2716.975
403,404000,2878.1846
405,406000,2575.8168
407,408000,1634.6974
409,410000,2432.9078
411,412000,2747.7353
413,414000,3037.4874
