episode,timestep,reward
1,2000,1063.5361
3,4000,1467.1151
5,6000,995.8201
7,8000,1309.5197
9,10000,1286.7279
11,12000,1111.9521
13,14000,1180.4015
15,16000,956.2252
17,18000,1167.3169
19,20000,1125.9179
21,22000,1294.7794
23,24000,1194.1707
25,26000,1121.3864
27,28000,1703.3225
29,30000,1270.4895
31,32000,1473.9386
33,34000,1425.7206
35,36000,1492.7776
37,38000,1364.2779
39,40000,1647.8285
41,42000,1452.1568
43,44000,1268.0381
45,46000,1272.0789
47,48000,1355.3202
49,50000,1342.0623
51,52000,1143.7221
53,54000,1246.6751
55,56000,1627.3307
57,58000,1192.2083
59,60000,1536.9969
61,62000,1508.4673
63,64000,1465.9595
65,66000,1205.6959
67,68000,1672.2108
69,70000,1233.1674
71,72000,1856.0989
73,74000,1724.5728
75,76000,1583.105
77,78000,1550.2305
79,80000,1907.938
81,82000,1592.6429
83,84000,1335.3788
85,86000,1444.0244
87,88000,1838.1189
